District,Biometric_Count,Demographic_Count,Total_Activity,Recommendation
Lucknow,217390.0,149707.0,367097.0,Deploy Mobile Biometric Kits
Katihar,217280.0,139869.0,357149.0,Deploy Mobile Biometric Kits
Bijnor,217048.0,163020.0,380068.0,Deploy Mobile Biometric Kits
Bilaspur,216943.0,115802.0,332745.0,Deploy Mobile Biometric Kits
Tirunelveli,214773.0,58952.0,273725.0,Deploy Mobile Biometric Kits
Madurai,213798.0,78802.0,292600.0,Deploy Mobile Biometric Kits
Chandrapur,213634.0,83278.0,296912.0,Deploy Mobile Biometric Kits
Prakasam,212299.0,85163.0,297462.0,Deploy Mobile Biometric Kits
East Champaran,212134.0,189345.0,401479.0,Deploy Mobile Biometric Kits
Darbhanga,210380.0,109520.0,319900.0,Deploy Mobile Biometric Kits
Satara,209569.0,72367.0,281936.0,Deploy Mobile Biometric Kits
Patna,209014.0,179323.0,388337.0,Deploy Mobile Biometric Kits
Muzaffarpur,208544.0,153164.0,361708.0,Deploy Mobile Biometric Kits
Nagaur,205368.0,73913.0,279281.0,Deploy Mobile Biometric Kits
Hardoi,205097.0,107698.0,312795.0,Deploy Mobile Biometric Kits
Vadodara,201417.0,70618.0,272035.0,Deploy Mobile Biometric Kits
Samastipur,200165.0,147234.0,347399.0,Deploy Mobile Biometric Kits
Nandurbar,199747.0,30155.0,229902.0,Deploy Mobile Biometric Kits
Aligarh,199500.0,146531.0,346031.0,Deploy Mobile Biometric Kits
Bangalore,198979.0,37758.0,236737.0,Deploy Mobile Biometric Kits
Dhule,197854.0,46221.0,244075.0,Deploy Mobile Biometric Kits
Barmer,196765.0,88758.0,285523.0,Deploy Mobile Biometric Kits
Mahabubnagar,195169.0,70764.0,265933.0,Deploy Mobile Biometric Kits
Rewa,194959.0,59612.0,254571.0,Deploy Mobile Biometric Kits
Tiruchirappalli,193570.0,55703.0,249273.0,Deploy Mobile Biometric Kits
Sagar,192725.0,65170.0,257895.0,Deploy Mobile Biometric Kits
Jalna,192692.0,60321.0,253013.0,Deploy Mobile Biometric Kits
Srikakulam,192607.0,101275.0,293882.0,Deploy Mobile Biometric Kits
Raipur,192374.0,96557.0,288931.0,Deploy Mobile Biometric Kits
Ghaziabad,192022.0,187473.0,379495.0,Deploy Mobile Biometric Kits
Vellore,191803.0,67527.0,259330.0,Deploy Mobile Biometric Kits
Ludhiana,190927.0,85989.0,276916.0,Deploy Mobile Biometric Kits
Saharanpur,190716.0,116355.0,307071.0,Deploy Mobile Biometric Kits
Kheri,190063.0,135286.0,325349.0,Deploy Mobile Biometric Kits
Ganjam,188862.0,71951.0,260813.0,Deploy Mobile Biometric Kits
Pratapgarh,188247.0,111085.0,299332.0,Deploy Mobile Biometric Kits
Bhopal,186438.0,67599.0,254037.0,Deploy Mobile Biometric Kits
Dindigul,186123.0,44257.0,230380.0,Deploy Mobile Biometric Kits
Gaya,185172.0,152976.0,338148.0,Deploy Mobile Biometric Kits
Akola,185085.0,41497.0,226582.0,Deploy Mobile Biometric Kits
Parbhani,184026.0,87388.0,271414.0,Deploy Mobile Biometric Kits
Jaunpur,183080.0,115142.0,298222.0,Deploy Mobile Biometric Kits
Varanasi,182411.0,118105.0,300516.0,Deploy Mobile Biometric Kits
Sitamarhi,182000.0,126440.0,308440.0,Deploy Mobile Biometric Kits
Kanpur Nagar,181438.0,120610.0,302048.0,Deploy Mobile Biometric Kits
Barddhaman,181126.0,126799.0,307925.0,Deploy Mobile Biometric Kits
Bahraich,181078.0,93353.0,274431.0,Deploy Mobile Biometric Kits
Bulandshahr,180832.0,134455.0,315287.0,Deploy Mobile Biometric Kits
Janjgir-champa,180654.0,83144.0,263798.0,Deploy Mobile Biometric Kits
Durg,179851.0,61052.0,240903.0,Deploy Mobile Biometric Kits
Udaipur,179778.0,94515.0,274293.0,Deploy Mobile Biometric Kits
Gorakhpur,178164.0,115857.0,294021.0,Deploy Mobile Biometric Kits
Ranchi,177774.0,68173.0,245947.0,Deploy Mobile Biometric Kits
Mumbai Suburban,174190.0,145778.0,319968.0,Deploy Mobile Biometric Kits
Meerut,173652.0,125424.0,299076.0,Deploy Mobile Biometric Kits
Azamgarh,173398.0,117429.0,290827.0,Deploy Mobile Biometric Kits
West Delhi,173242.0,194355.0,367597.0,Deploy Mobile Biometric Kits
Satna,172713.0,67671.0,240384.0,Deploy Mobile Biometric Kits
Cuddapah,170796.0,64035.0,234831.0,Deploy Mobile Biometric Kits
Nalgonda,170642.0,79205.0,249847.0,Deploy Mobile Biometric Kits
Muzaffarnagar,169851.0,102491.0,272342.0,Deploy Mobile Biometric Kits
Thanjavur,169567.0,56148.0,225715.0,Deploy Mobile Biometric Kits
Khargone,169201.0,31684.0,200885.0,Deploy Mobile Biometric Kits
Rajkot,168711.0,103868.0,272579.0,Deploy Mobile Biometric Kits
Vaishali,168160.0,108064.0,276224.0,Deploy Mobile Biometric Kits
Cuddalore,168111.0,61342.0,229453.0,Deploy Mobile Biometric Kits
West Champaran,166817.0,176933.0,343750.0,Deploy Mobile Biometric Kits
Shivpuri,166572.0,45948.0,212520.0,Deploy Mobile Biometric Kits
Bara Banki,165242.0,81743.0,246985.0,Deploy Mobile Biometric Kits
Rajgarh,165229.0,30400.0,195629.0,Deploy Mobile Biometric Kits
Sikar,161613.0,56618.0,218231.0,Deploy Mobile Biometric Kits
Hooghly,160790.0,134771.0,295561.0,Deploy Mobile Biometric Kits
Tikamgarh,160616.0,36099.0,196715.0,Deploy Mobile Biometric Kits
Moradabad,160474.0,124075.0,284549.0,Deploy Mobile Biometric Kits
Vizianagaram,159998.0,56786.0,216784.0,Deploy Mobile Biometric Kits
Palakkad,159847.0,35651.0,195498.0,Deploy Mobile Biometric Kits
Jabalpur,158664.0,63569.0,222233.0,Deploy Mobile Biometric Kits
Chhatarpur,158531.0,61082.0,219613.0,Deploy Mobile Biometric Kits
Nellore,158477.0,50847.0,209324.0,Deploy Mobile Biometric Kits
Palghar,157952.0,93034.0,250986.0,Deploy Mobile Biometric Kits
Mayurbhanj,156985.0,52076.0,209061.0,Deploy Mobile Biometric Kits
Pali,155910.0,42773.0,198683.0,Deploy Mobile Biometric Kits
Betul,155822.0,33655.0,189477.0,Deploy Mobile Biometric Kits
Araria,155444.0,114377.0,269821.0,Deploy Mobile Biometric Kits
Osmanabad,155055.0,83807.0,238862.0,Deploy Mobile Biometric Kits
Amritsar,155008.0,79584.0,234592.0,Deploy Mobile Biometric Kits
Rajnandgaon,154498.0,109533.0,264031.0,Deploy Mobile Biometric Kits
Shahjahanpur,154488.0,106701.0,261189.0,Deploy Mobile Biometric Kits
Balrampur,154355.0,97047.0,251402.0,Deploy Mobile Biometric Kits
Karimnagar,153003.0,67877.0,220880.0,Deploy Mobile Biometric Kits
Kozhikode,152186.0,64964.0,217150.0,Deploy Mobile Biometric Kits
Gonda,152075.0,92278.0,244353.0,Deploy Mobile Biometric Kits
Banaskantha,151757.0,56186.0,207943.0,Deploy Mobile Biometric Kits
Dhanbad,151069.0,80909.0,231978.0,Deploy Mobile Biometric Kits
Ujjain,149951.0,54384.0,204335.0,Deploy Mobile Biometric Kits
Medak,149111.0,50271.0,199382.0,Deploy Mobile Biometric Kits
Thiruvananthapuram,148817.0,47832.0,196649.0,Deploy Mobile Biometric Kits
Tiruppur,148772.0,66006.0,214778.0,Deploy Mobile Biometric Kits
Ernakulam,148755.0,47587.0,196342.0,Deploy Mobile Biometric Kits
Paschim Medinipur,148750.0,165536.0,314286.0,Deploy Mobile Biometric Kits
Saran,148503.0,123684.0,272187.0,Deploy Mobile Biometric Kits
Bhagalpur,148314.0,116549.0,264863.0,Deploy Mobile Biometric Kits
Kushinagar,147826.0,126319.0,274145.0,Deploy Mobile Biometric Kits
Erode,147495.0,50296.0,197791.0,Deploy Mobile Biometric Kits
Begusarai,147208.0,97882.0,245090.0,Deploy Mobile Biometric Kits
Dhar,146391.0,71443.0,217834.0,Deploy Mobile Biometric Kits
Unnao,146390.0,94092.0,240482.0,Deploy Mobile Biometric Kits
Ghazipur,145692.0,99145.0,244837.0,Deploy Mobile Biometric Kits
Morena,145559.0,89274.0,234833.0,Deploy Mobile Biometric Kits
Thrissur,145512.0,41794.0,187306.0,Deploy Mobile Biometric Kits
Udham Singh Nagar,144867.0,103226.0,248093.0,Deploy Mobile Biometric Kits
Barwani,143427.0,61544.0,204971.0,Deploy Mobile Biometric Kits
Warangal,143368.0,47418.0,190786.0,Deploy Mobile Biometric Kits
North East Delhi,143096.0,125936.0,269032.0,Deploy Mobile Biometric Kits
Ajmer,141858.0,91450.0,233308.0,Deploy Mobile Biometric Kits
South West Delhi,141527.0,131295.0,272822.0,Deploy Mobile Biometric Kits
Tiruvannamalai,141455.0,49449.0,190904.0,Deploy Mobile Biometric Kits
Kishanganj,141279.0,120898.0,262177.0,Deploy Mobile Biometric Kits
Jalandhar,141270.0,35596.0,176866.0,Deploy Mobile Biometric Kits
Bharatpur,141155.0,71311.0,212466.0,Deploy Mobile Biometric Kits
Bhavnagar,141152.0,38705.0,179857.0,Deploy Mobile Biometric Kits
Cuttack,141068.0,35088.0,176156.0,Deploy Mobile Biometric Kits
Baloda Bazar,140747.0,90694.0,231441.0,Deploy Mobile Biometric Kits
Gadchiroli,140665.0,39540.0,180205.0,Deploy Mobile Biometric Kits
Chhindwara,140191.0,70741.0,210932.0,Deploy Mobile Biometric Kits
Thoothukkudi,139861.0,33039.0,172900.0,Deploy Mobile Biometric Kits
Ratnagiri,139189.0,39361.0,178550.0,Deploy Mobile Biometric Kits
Washim,138620.0,39449.0,178069.0,Deploy Mobile Biometric Kits
Deoria,138613.0,75438.0,214051.0,Deploy Mobile Biometric Kits
East Singhbhum,136106.0,43130.0,179236.0,Deploy Mobile Biometric Kits
Pilibhit,135630.0,106282.0,241912.0,Deploy Mobile Biometric Kits
Ratlam,134947.0,59798.0,194745.0,Deploy Mobile Biometric Kits
Haridwar,134636.0,52807.0,187443.0,Deploy Mobile Biometric Kits
Damoh,134483.0,39424.0,173907.0,Deploy Mobile Biometric Kits
Churu,133224.0,49766.0,182990.0,Deploy Mobile Biometric Kits
Ballia,133005.0,77207.0,210212.0,Deploy Mobile Biometric Kits
Guna,132886.0,33816.0,166702.0,Deploy Mobile Biometric Kits
Adilabad,132321.0,55696.0,188017.0,Deploy Mobile Biometric Kits
Purba Medinipur,131356.0,76542.0,207898.0,Deploy Mobile Biometric Kits
West Singhbhum,131186.0,42489.0,173675.0,Deploy Mobile Biometric Kits
Bikaner,130871.0,60866.0,191737.0,Deploy Mobile Biometric Kits
Pudukkottai,130306.0,37700.0,168006.0,Deploy Mobile Biometric Kits
Dehradun,129280.0,56943.0,186223.0,Deploy Mobile Biometric Kits
Rae Bareli,128738.0,81418.0,210156.0,Deploy Mobile Biometric Kits
Nizamabad,128175.0,52998.0,181173.0,Deploy Mobile Biometric Kits
Nadia,127791.0,143537.0,271328.0,Deploy Mobile Biometric Kits
Kollam,127311.0,38303.0,165614.0,Deploy Mobile Biometric Kits
Gwalior,127120.0,51862.0,178982.0,Deploy Mobile Biometric Kits
Balaghat,126762.0,58809.0,185571.0,Deploy Mobile Biometric Kits
Shajapur,126641.0,23045.0,149686.0,Deploy Mobile Biometric Kits
Wardha,126459.0,22605.0,149064.0,Deploy Mobile Biometric Kits
Siwan,125804.0,91648.0,217452.0,Deploy Mobile Biometric Kits
Rampur,124942.0,106765.0,231707.0,Deploy Mobile Biometric Kits
Vidisha,124890.0,36270.0,161160.0,Deploy Mobile Biometric Kits
Kachchh,123961.0,40628.0,164589.0,Deploy Mobile Biometric Kits
East Delhi,122805.0,148191.0,270996.0,Deploy Mobile Biometric Kits
Virudhunagar,121294.0,42560.0,163854.0,Deploy Mobile Biometric Kits
Villupuram,121261.0,29147.0,150408.0,Deploy Mobile Biometric Kits
Sidhi,121207.0,41607.0,162814.0,Deploy Mobile Biometric Kits
Namakkal,120991.0,34413.0,155404.0,Deploy Mobile Biometric Kits
Krishnagiri,120803.0,43152.0,163955.0,Deploy Mobile Biometric Kits
Bhilwara,120019.0,73436.0,193455.0,Deploy Mobile Biometric Kits
Dewas,119901.0,33004.0,152905.0,Deploy Mobile Biometric Kits
Saharsa,119866.0,62238.0,182104.0,Deploy Mobile Biometric Kits
Mathura,119417.0,79643.0,199060.0,Deploy Mobile Biometric Kits
Kannur,119399.0,41253.0,160652.0,Deploy Mobile Biometric Kits
Patiala,119311.0,61403.0,180714.0,Deploy Mobile Biometric Kits
Gurdaspur,119235.0,51684.0,170919.0,Deploy Mobile Biometric Kits
Faridabad,118951.0,111774.0,230725.0,Deploy Mobile Biometric Kits
Sehore,118002.0,19083.0,137085.0,Deploy Mobile Biometric Kits
Fatehpur,117914.0,72714.0,190628.0,Deploy Mobile Biometric Kits
Nagaon,117879.0,70815.0,188694.0,Deploy Mobile Biometric Kits
Nalanda,117402.0,112194.0,229596.0,Deploy Mobile Biometric Kits
Madhepura,117237.0,69870.0,187107.0,Deploy Mobile Biometric Kits
Kheda,117161.0,40692.0,157853.0,Deploy Mobile Biometric Kits
Hingoli,117064.0,65389.0,182453.0,Deploy Mobile Biometric Kits
Raisen,116648.0,30646.0,147294.0,Deploy Mobile Biometric Kits
Hisar,115867.0,44655.0,160522.0,Deploy Mobile Biometric Kits
Dahod,115675.0,27127.0,142802.0,Deploy Mobile Biometric Kits
Firozabad,113767.0,115561.0,229328.0,Deploy Mobile Biometric Kits
Anand,113695.0,28593.0,142288.0,Deploy Mobile Biometric Kits
Palamu,113041.0,75769.0,188810.0,Deploy Mobile Biometric Kits
Supaul,112370.0,81627.0,193997.0,Deploy Mobile Biometric Kits
Jhansi,112005.0,53549.0,165554.0,Deploy Mobile Biometric Kits
Bemetara,111710.0,43914.0,155624.0,Deploy Mobile Biometric Kits
Rohtas,111710.0,87058.0,198768.0,Deploy Mobile Biometric Kits
Belgaum,111069.0,44433.0,155502.0,Deploy Mobile Biometric Kits
Raichur,110877.0,34132.0,145009.0,Deploy Mobile Biometric Kits
Giridih,110410.0,98636.0,209046.0,Deploy Mobile Biometric Kits
Jhunjhunun,110392.0,41432.0,151824.0,Deploy Mobile Biometric Kits
Budaun,110318.0,127845.0,238163.0,Deploy Mobile Biometric Kits
Birbhum,110194.0,115676.0,225870.0,Deploy Mobile Biometric Kits
Ananthapuramu,109602.0,38340.0,147942.0,Deploy Mobile Biometric Kits
Basti,109201.0,62983.0,172184.0,Deploy Mobile Biometric Kits
Singrauli,108430.0,40668.0,149098.0,Deploy Mobile Biometric Kits
Bokaro,108429.0,55018.0,163447.0,Deploy Mobile Biometric Kits
Mirzapur,108192.0,69367.0,177559.0,Deploy Mobile Biometric Kits
